1,	'Annie',	'the Dark Child',	'In the time shortly before the League, there were those within the sinister city-state of Noxus who did not agree with the evils perpetrated by the Noxian High Command. The High Command had just put down a coup attempt from the self-proclaimed Crown Prince Raschallion, and a crack down on any form of dissent against the new government was underway. These political and social outcasts, known as the Gray Order, sought to leave their neighbors in peace as they pursued dark arcane knowledge. The leaders of this outcast society were a married couple: Gregori Hastur, the Gray Warlock, and his wife Amoline, the Shadow Witch. Together they led an exodus of magicians and other intelligentsia from Noxus, resettling their followers beyond the Great Barrier to the northern reaches of the unforgiving Voodoo Lands. Though survival was a challenge at times, the Gray Order's colony managed to thrive in a land where so many others would have failed.Years after the exodus, Gregori and Amoline had a child: Annie. Early on, Annie's parents knew there was something special about their daughter. At the age of two, Annie miraculously ensorcelled a shadow bear - a ferocious denizen of the petrified forests outside the colony - turning it into her pet. To this day she keeps her bear ''Tibbers'' by her side, often keeping him spellbound as a stuffed doll to be carried like a child's toy. The combination of Annie's lineage and the dark magic of her birthplace have given this little girl tremendous arcane power. It is this same girl who now finds herself as one of the most sought-after champions within the League of Legends - even by the city-state that would have exiled her parents had they not fled beforehand.''Annie may be one of the most powerful champions ever to have fought in a Field of Justice. I shudder to think of her capabilities when she becomes an adult.''-- High Councilor Kiersta Mandrake',	'mage,ranged,recommended'
2,	'Olaf',	'the Berserker',	'On an uncharted continent beyond Valoran's grasping clutches, the conqueror named Olaf was born to a long tradition of soldiers unlike most others.  Berserkers, as they tout themselves, are warriors who channel fury deep from their cores, unleashing pure and savage wrath upon their enemies.  This fearsome evolution is a product of their unforgiving home, Lokfar - a barren tundra where all creatures must vie bitterly for every resource.  Olaf belonged to a seafaring clan known for ruthlessly pillaging any and all villages within reach of their dragon-crested longboats.  The last time he saw his icy home, Olaf was embarking on an expedition to pioneer and plunder a distant land known only to legend.  However, while underway, a terrible storm sprung up and Olaf and his crew were thrown to the mercy of a roiling and pitiless sea.His ship destroyed, his crew nowhere to be found, Olaf miraculously washed up untold miles from ''friendly'' waters on the foreign shores of Valoran, south of Demacia.  This unfamiliar place stunned and frightened the Berserker, for Lokfar is not privy to such potent magicians.  Approaching them, Olaf hoped that they could use their mysterious powers to send him back to his people.  A bargain was struck.  Olaf would use his awesome prowess as a warrior to serve the unusual wars of Valoran in the League of Legends, and in exchange the sorcerers would find him a way to return.  Despite his participation in the League, Olaf knows better than to trust the ''finger wagglers'' that run the Institute of War.  He deliberately keeps details of his life and home from them.  After all, with enough information, they would most certainly find the Lokfarians and dominate them as they have dominated all of Valoran, keeping both quietly -- and unwittingly -- in their thrall.Beware the war cry of the Berserker.  What surges toward you is unyielding, free from the shackles of reason.',	'fighter,melee'
3,	'Galio',	'the Sentinel's Sorrow',	'Long before the League's regulation of such magic, mages experimented with the creation of artificial life.  Now forbidden, instilling golems with reason was once not so uncommon a practice amongst the more expert of craftsmen.  One such visionary was the Demacian artificer, Durand.  Peerless at crafting sentient beings, Durand's constructs served as tireless guardians for the border towns of his beloved city-state, affording them protection from their Noxian neighbors.  For his own defense, however, Durand kept his magnum opus: Galio.  This mighty construct - forged in the image of a gargoyle - kept him safe on his journeys, allowing him to perform his important work without fear of reprisal from those hostile to his homeland.  That is, until dealing with his taxing sentinels finally roused the ire of the Noxian High Command.As Durand crossed the Howling Marsh with his masterwork in tow, he was set upon by Noxian assassins in force.  Outnumbered and overwhelmed, Galio looked on in horror as the murderers cut down his charge, executing him swiftly before vanishing back into the mists.  Stripped of his reason for being, Galio despaired.  For years he remained in solitude, standing vigil over the bones of the master he had failed to protect... a literal monument to his own everlasting shame.  Then, one nondescript day, a sad but determined yordle girl carrying a mighty Demacian crown stopped in the shadow of a great statue to rest.  Hidden in plain sight from his unsuspecting visitor, Galio studied the forlorn yordle.  She looked as though she too shouldered a tremendous burden.  As quietly and as stoically as she had arrived, she departed in the direction of Demacia.  This encounter lit a spark in Galio's eye.  Remembering the cause that his master had died defending, Galio arose from his silent purgatory and followed in the wake of this brave creature.  He had a new reason to live: to join the League of Legends and fight for the will of Demacia.''There is no such thing as redemption.  Only penance.''-- Galio',	'tank,support,melee'
4,	'Twisted Fate',	'the Card Master',	'Although born to poor gypsy parents, the champion known as Twisted Fate was able to gamble his way to prosperity as a card shark in the seedy underground gambling circuits of Demacia and Noxus.  No matter how close the authorities came to catching him, the rogue always found a way to slip through their fingers.  Despite his good fortune, he was never able to win that which he truly desired - the ability to control magic.  When Twisted Fate learned of an experiment being conducted in Zaun that might help him with his wish, he did the only thing a gambler of his worth could do - he went all in and volunteered for the experiment.Conducted by the infamous Dr. Xavier Rath, Twisted Fate was told that the wager for such participation might be steep.  He might change forever, or nothing might happen, or he might die horribly.  Pain, however, was likely a part of the deal no matter the outcome. These were hardly the worst odds the gambler had faced; his hopes raised, Twisted Fate underwent the experiment, enduring what he must for a chance at his dream.  Then, it ended - with seemingly no effect whatsoever.  The gypsy rogue flew into a murderous rage, but, before he could strike down the team, he suddenly teleported himself miles away.  With a sly grin, he realized his luck had won out yet again. He now brings his luck and rakish charm to the Institute of War, where he is the Champion of choice for many - especially the gambling kind.  To this day, Twisted Fate has avoided his inevitable reunion with Dr. Rath.  The Card Master knows, however, that a confrontation is coming.While the future may be mysterious and unknown to most, Twisted Fate is certain that his future lies within the cards.',	'assassin,pusher,ranged'
5,	'Xin Zhao',	'the Seneschal of Demacia',	'Whenever Jarvan III, the king of Demacia, delivers one of his rallying speeches from the glinting marble balcony atop the Royal Palace, Xin Zhao is at his side. Coined the Seneschal of Demacia, Xin Zhao is the personal steward of the Lightshield Dynasty. His enigmatic, silent vigil has led to an abundance of conjecture concerning his ''secret life'' and origins. Whether it's ''Zaun double-agent'' tendered at the dinner table or ''indebted rune mage'' mused in the editorials of the ''Demacian Constant'', Xin Zhao betrays no hints to sate the curiosity of the masses... for good reason.Prior to the formation of the League, Noxus was renowned for a spectacle called The Fleshing. It was a gladiatorial event with a cruel twist: as a fighter won matches, his number of opponents (generally prisoners of war) fought simultaneously would increase. This meant eventual death for every contender, but with unparalleled glory. Xin Zhao, known then as Viscero, was slated to face 300 soldiers, nearly six times the previous record. This was clearly meant to be his final match. Jarvan II, hearing of this unprecedented feat, infiltrated the arena to offer him an alternative: serve Demacia and punish those who ultimately sentence him to death in exchange for his freedom. Xin Zhao accepted, astonished that a king would risk his own life on his behalf. Under the cover of a prearranged Demacian assault on Noxus, Jarvan liberated Xin Zhao and his 300 opponents. During their retreat, Xin Zhao took a poisoned dart meant for Jarvan. This act of loyalty, from a man who vowed no allegiance, earned Xin Zhao a spot at his side until the day the king died. Now in the service of his son, Jarvan III, Xin Zhao is stepping into a new ring - the Fields of Justice - to fight for his adopted country and to honor the legacy of the man who gave purpose to his life.''Death is inevitable, one can only avoid defeat.''      -  Demacian Manual of Arms',	'fighter,assassin,melee'
6,	'Urgot',	'the Headsman's Pride',	'There are warriors who become great for their strength, cunning, or skill with arms.  Others simply refuse to die.  Urgot, once a great soldier of Noxus, may constitute a case in support of the latter.  Prone to diving headlong into enemy battle lines, Urgot sowed chaos throughout the enemy ranks, often sustaining grievous injuries in the process. When his body was unable to weather further abuse, the crippled Urgot was delegated the position of High Executioner of Noxus.  By this time, his hands had been ruined and he could barely walk.  Scythe-like grafts affixed to his maimed limbs served to carry out his bloody work.Urgot finally met his end at what should have been his finest hour.  Because of his military background, he often accompanied detachments into foreign territory to carry out judgment.  After ambushing an enemy force, Jarvan IV, Crown Prince of Demacia, fell into the clutches of Urgot's division.  Too far from Noxus to risk transporting their prize for ransom, Urgot prepared to dispose of their captive.  At the final moment, however, the Dauntless Vanguard, led by Garen, the Might of Demacia, intervened, and Urgot was cut in two by the zealous warrior as he scrambled to free his Prince.  In recognition of his service, the executioner's remains were remanded to the Bleak Academy for reanimation.  A lifetime of abuse, however, had left his body in a catastrophic state; proving problematic to the necromancers' craft.  Professor Stanwick Pididly, the prevailing scholar of Zaun, offered a solution.  Within Pididly's laboratories, a nightmarish new body was forged for Urgot.  Now as much machine as man, Urgot arrived at the League of Legends in search of the man who ended his life; necromantic energies coursing through his metal veins.''We can rebuild him. We have the techmaturgy.''-- Professor Stanwick Pididly',	'fighter,ranged'
7,	'LeBlanc',	'the Deceiver',	'Every city has its dark side, even one whose reputation is already of a questionable hue. Noxus - though its name is already invoked with a mixture of reverence and revulsion - is no exception to this simple truth. Deep within the winding dungeons that honeycomb the earth beneath its dark, meandering streets lies the real underbelly of this sprawling metropolis, a haven for all manner of malevolence. Amongst the cults, covens, and secret societies that call this labyrinth their home, LeBlanc, the Deceiver, presides over the Black Rose, a remnant from a lost, yet similarly unscrupulous time in Noxian history. Ruthless and seemingly ageless, LeBlanc and her ilk were a mainstay in Noxian political affairs during the era before the militarization of the Noxian government. In those days, this guild of powerful magicians met in secret to further their hidden agenda, and to hone a craft more subtle than that preferred by those currently in power.While their exact motives have always remained mysterious, it was widely believed that the Black Rose was the true power behind the throne while the aristocracy still reigned in Noxus. When raw martial prowess became the ultimate determination of whose will held sway in the Empire, the Black Rose seemed to vanish overnight. Many believed that perhaps their time had simply passed, and that its members had put aside their quests for social and political dominance. When LeBlanc reemerged at the gates of the Institute of War, however, it became clear that these masters of shadow and flame had simply been biding their time, waiting for a new global authority to emerge: the League of Legends.''The world is very different for those who cannot see beyond what is placed before their very eyes.''-- LeBlanc, the Deceiver',	'assassin,mage,ranged'
8,	'Vladimir',	'the Crimson Reaper',	'There is a temple hidden in the mountains between Noxus and the Tempest Flats, where the secrets of an ancient and terrifying sorcery are kept.  The area surrounding the temple is littered with the exsanguinated corpses of those who have mistakenly wandered too close.  These served only to pique the curiosity of Vladimir, when - in his youth - he trekked through these mountains during his flight from Noxus.  A day earlier, the teenaged Vladimir had brutally murdered two boys his age, for no better reason than to enjoy the intoxicating scarlet bloom that surged forth.  He realized immediately that he would never be able to suppress his murderous desires, and if he remained in Noxus, his foul deeds were sure to catch up with him.  Without hesitation, he abandoned the city-state, and journeyed south.The trail of bodies led him to a crumbling stone temple.  Inside he found an aging monk who appraised him with eyes of pure crimson.  Vladimir surprised the monk by returning the wicked gaze with zeal.  Recognizing the boy's sinister craving, the monk taught Vladimir how to manipulate and control the fluid of life, often practicing on passing travelers.  When it came time for Vladimir to learn the final lesson, the monk warned that failure would result in death.  Vladimir did not fail, but success bore a grisly surprise.  During the ritual, every drop of the monk's blood was drawn from his body and fused with Vladimir's, imbuing him with his master's magical essence, and that of every hemomancer before him.  Left alone and suddenly without purpose, Vladimir resolved to return to Noxus, demanding enrollment in the League to prove the supremacy of his craft.  When the Noxian High Command observed the gruesome fates which befell the palace guards, they elected to avail themselves of Vladimir's unsavory talents.''That which runs through you will run you through.''-- Vladimir',	'fighter,mage,ranged'
9,	'Fiddlesticks',	'the Harbinger of Doom',	'For nearly twenty years, Fiddlesticks has stood alone in the easternmost summoning chamber of the Institute of War.  Only the burning emerald light of his unearthly gaze pierces the musty darkness of his dust-covered home.  It is here that the Harbinger of Doom keeps a silent vigil.  His is a cautionary tale of power run amok, taught to all summoners within the League.  Decades ago, there existed a powerful rune mage from Zaun - Istvaan.  At the end of the fifth Rune War, he became one of the League's first summoners.  Too much a prisoner to the old ways of magic, Istvaan stepped further and further outside the rules of conduct in the League.  In what was ultimately his last match, his reach finally exceeded his grasp.  Sealing himself inside the easternmost summoning chamber, he began incanting the most forbidden of rituals - an extra-planar summoning.What exactly happened inside that chamber remains unknown.  No champion came to represent Zaun that day in Summoner's Rift.  Only silence echoed back from repeated knocks on the chamber door.  The first apprentice who entered was cut down immediately by an unearthly scythe.  What few who followed and survived were driven mad by fear, mere husks of men gibbering about crows and death.  Afraid of the evil even Istvaan could not control, the League sealed all exits to the chamber, hoping they could contain what they could not destroy.  Years went by, but the wooden figure within never moved save to slay any foolish enough to enter.  Seeing no recourse to reclaim the chamber, the Council instead devised a use for Fiddlesticks: executioner.  While he comes to life and seemingly abides by the rules of summoning in the Fields of Justice, what he awaits inside his chamber is unknown.  His unmoving face yields no clues, and his scythe stands ready to strike down any who stand before him.Those who say 'you have nothing to fear but fear itself' have not yet felt the crows.',	'mage,jungler,ranged'
10,	'Kayle',	'The Judicator',	'In a world far away where an ancient war still rages, Kayle was a great hero - the strongest of an immortal race committed to destroying evil wherever it could be found.  For ten thousand years, Kayle fought tirelessly for her people, wielding her flaming sword forged before time itself. She shielded her delicate features beneath her enchanted armor, the sole remaining masterpiece of an extinct race of craftsmen.  Though a beautiful, striking creature, Kayle, now as then, avoids showing her face; war has taken a terrible toll upon her spirit.  In her quest for victory, she sometimes would try to lift the wicked up from their morass of evil, but more than often she instead purged those she herself deemed beyond redemption.  To Kayle, justice can so often be an ugly thing.Ten years ago, Kayle's war against evil was nearly won... until her rebellious sister Morgana, a pariah amongst their people, suddenly gained powerful new allies: magicians of a hitherto unknown world called Runeterra.  Morgana traded servitude to a number of the summoners in Runeterra's League of Legends for powerful new abilities that, if mastered, threatened to bring Kayle and her people to their knees. To save her world, Kayle had no choice but to make a pact with the League herself.  She approached the leader of the League, High Counselor Reginald Ashram, with a deal of her own.  In exchange for a thousand years of Kayle's service, Ashram halted all League interference on Kayle's world.  With Ashram's disappearance five years ago, Kayle has new causes on Valoran: find out who or what caused Ashram to disappear, defeat her sister Morgana upon the Fields of Justice, and bring her own brand of justice to the League of Legends.''In the League of Legends, Justice comes on swift wings.''',	'fighter,support'
